Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
92,tt8000970,2021-08-01,2021-08-01,,"Trigonometry","Trigonometry",https://www.imdb.com/title/tt8000970/,TV Mini Series,7.3,44,2020,"Comedy, Drama, Romance",1563,2020-03-15,,6,2021-08-01
93,tt5180504,2021-08-07,2021-08-07,,"The Witcher","The Witcher",https://www.imdb.com/title/tt5180504/,TV Series,7.8,60,2019,"Action, Adventure, Drama, Fantasy, Mystery",619341,2019-12-20,,7,2021-08-07
94,tt13839098,2021-09-10,2021-09-10,,"Threesome","Threesome",https://www.imdb.com/title/tt13839098/,TV Series,7.0,,2021,"Drama",1945,2021-08-29,,5,2021-09-10
95,tt10478054,2021-10-11,2021-10-11,,"The Lost Symbol","The Lost Symbol",https://www.imdb.com/title/tt10478054/,TV Series,6.4,45,2021,"Action, Adventure, Drama, Mystery, Thriller",15793,2021-09-16,,7,2021-11-10
96,tt2467372,2021-11-10,2021-11-10,,"Brooklyn Nine-Nine","Brooklyn Nine-Nine",https://www.imdb.com/title/tt2467372/,TV Series,8.4,22,2013,"Comedy, Crime",414843,2013-09-17,,7,2021-11-10
97,tt8382834,2021-11-10,2021-11-10,,"Instinto","Instinto",https://www.imdb.com/title/tt8382834/,TV Series,6.1,47,2019,"Drama, Mystery",1290,2019-01-01,,4,2021-11-10
98,tt14164730,2021-11-13,2021-11-13,,"Dexter: New Blood","Dexter: New Blood",https://www.imdb.com/title/tt14164730/,TV Mini Series,8.0,60,2021,"Crime, Drama, Mystery",153315,2021-11-07,,7,2021-12-13
99,tt7462410,2021-11-21,2021-11-21,,"The Wheel of Time","The Wheel of Time",https://www.imdb.com/title/tt7462410/,TV Series,7.2,60,2021,"Action, Adventure, Drama, Fantasy",163743,2021-11-19,,8,2021-11-21
100,tt0804484,2021-12-06,2021-12-06,,"Foundation","Foundation",https://www.imdb.com/title/tt0804484/,TV Series,7.6,60,2021,"Drama, Sci-Fi",125583,2021-09-24,,10,2021-12-06
101,tt10160804,2021-12-08,2021-12-08,,"Hawkeye","Hawkeye",https://www.imdb.com/title/tt10160804/,TV Mini Series,7.4,60,2021,"Action, Adventure, Crime, Drama, Mystery, Sci-Fi",242260,2021-11-24,,8,2021-12-08
102,tt12682218,2021-12-31,2021-12-31,,"Scenes from a Marriage","Scenes from a Marriage",https://www.imdb.com/title/tt12682218/,TV Mini Series,8.0,60,2021,"Drama",33823,2021-09-12,,7,2021-12-31
103,tt6932244,2022-01-01,2022-01-01,,"Hanna","Hanna",https://www.imdb.com/title/tt6932244/,TV Series,7.6,60,2019,"Action, Crime, Drama, Romance",45658,2019-03-29,,7,2022-01-12
104,tt7043380,2022-02-07,2022-02-07,,"Osmosis","Osmosis",https://www.imdb.com/title/tt7043380/,TV Series,5.8,55,2019,"Romance, Sci-Fi",3635,2019-03-29,,6,2022-02-07
105,tt8398600,2022-02-19,2022-02-19,,"After Life","After Life",https://www.imdb.com/title/tt8398600/,TV Series,8.4,30,2019,"Comedy, Drama",168473,2019-03-08,,9,2022-02-13
106,tt10625812,2022-02-20,2022-02-20,,"Spy City","Spy City",https://www.imdb.com/title/tt10625812/,TV Series,6.9,48,2020,"Drama, Thriller",1706,2021-04-15,,7,2022-02-20
107,tt10234724,2022-04-06,2022-04-06,,"Moon Knight","Moon Knight",https://www.imdb.com/title/tt10234724/,TV Mini Series,7.3,50,2022,"Action, Adventure, Fantasy",309804,2022-03-30,,6,2022-04-06
108,tt5753856,2022-04-12,2022-04-12,,"Dark","Dark",https://www.imdb.com/title/tt5753856/,TV Series,8.7,60,2017,"Crime, Drama, Mystery, Sci-Fi, Thriller",541063,2017-12-01,,8,2022-04-12
109,tt11280740,2022-04-17,2022-04-17,,"Severance","Severance",https://www.imdb.com/title/tt11280740/,TV Series,8.6,50,2022,"Drama, Mystery, Sci-Fi, Thriller",384490,2022-02-18,,8,2022-04-17
110,tt5071412,2022-04-29,2022-04-29,,"Ozark","Ozark",https://www.imdb.com/title/tt5071412/,TV Series,8.4,60,2017,"Crime, Drama, Thriller",390537,2017-07-21,,8,2022-04-29
111,tt12748084,2022-05-15,2022-05-15,,"Anatomy of a Scandal","Anatomy of a Scandal",https://www.imdb.com/title/tt12748084/,TV Mini Series,7.0,45,2022,"Drama, Mystery, Thriller",40013,2022-04-15,,6,2022-05-15
112,tt11997646,2022-05-28,2022-05-28,,"Conversations with Friends","Conversations with Friends",https://www.imdb.com/title/tt11997646/,TV Series,6.8,30,2022,"Drama, Romance",10519,2022-05-15,,6,2022-05-28
113,tt13361448,2022-06-03,2022-06-03,,"Night Sky","Night Sky",https://www.imdb.com/title/tt13361448/,TV Series,7.3,55,2022,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",26414,2022-05-20,,7,2022-06-03
114,tt10758074,2022-06-06,2022-06-06,,"The Man Who Fell to Earth","The Man Who Fell to Earth",https://www.imdb.com/title/tt10758074/,TV Series,7.2,60,2022,"Drama, Sci-Fi",11439,2022-04-24,,6,2022-06-27
115,tt5645432,2022-06-23,2022-06-23,,"The Old Man","The Old Man",https://www.imdb.com/title/tt5645432/,TV Series,7.5,61,2022,"Action, Drama, Thriller",62722,2022-06-16,,7,2022-06-27
116,tt14190592,2022-06-23,2022-06-23,,"The Lazarus Project","The Lazarus Project",https://www.imdb.com/title/tt14190592/,TV Series,7.3,45,2022,"Action, Drama, Fantasy, Sci-Fi, Thriller",12750,2023-06-04,,7,2022-06-27
117,tt1998372,2022-06-23,2022-06-23,,"Under the Banner of Heaven","Under the Banner of Heaven",https://www.imdb.com/title/tt1998372/,TV Mini Series,7.5,67,2022,"Crime, Drama, Mystery, Thriller",42454,2022-04-28,,9,2022-06-23
118,tt11055882,2022-06-23,2022-06-23,,"Good Sam","Good Sam",https://www.imdb.com/title/tt11055882/,TV Series,6.0,,2022,"Drama",2806,2022-01-05,,5,2022-06-23
119,tt13833978,2022-06-27,2022-06-27,,"The Lincoln Lawyer","The Lincoln Lawyer",https://www.imdb.com/title/tt13833978/,TV Series,7.8,60,2022,"Crime, Drama, Mystery, Thriller",96713,2022-05-13,,8,2022-06-27
120,tt12026710,2022-07-14,2022-07-14,,"Suspicion","Suspicion",https://www.imdb.com/title/tt12026710/,TV Series,6.2,46,2022,"Crime, Drama, Mystery, Thriller",11551,2022-02-04,,7,2022-07-14
121,tt11712058,2022-07-17,2022-07-17,,"Mayor of Kingstown","Mayor of Kingstown",https://www.imdb.com/title/tt11712058/,TV Series,8.2,,2021,"Crime, Drama, Thriller",72086,2021-11-14,,8,2022-07-17
122,tt14829590,2022-07-18,2022-07-18,,"Why Didn't They Ask Evans?","Why Didn't They Ask Evans?",https://www.imdb.com/title/tt14829590/,TV Mini Series,7.0,58,2022,"Comedy, Mystery, Thriller",9663,2022-04-12,,6,2022-07-18
123,tt9310136,2022-07-31,2022-07-31,,"Interrogation","Interrogation",https://www.imdb.com/title/tt9310136/,TV Series,7.3,46,2020,"Crime, Drama, Thriller",3150,2020-02-06,,7,2022-07-31
124,tt0475784,2022-08-01,2022-08-01,,"Westworld","Westworld",https://www.imdb.com/title/tt0475784/,TV Series,8.4,60,2016,"Drama, Mystery, Sci-Fi",557143,2016-10-02,,8,2022-08-01
125,tt11743610,2022-08-06,2022-08-06,,"The Terminal List","The Terminal List",https://www.imdb.com/title/tt11743610/,TV Series,7.9,60,2022,"Action, Drama, Thriller",126921,2022-07-01,,7,2022-08-06
126,tt1751634,2022-08-12,2022-08-12,,"The Sandman","The Sandman",https://www.imdb.com/title/tt1751634/,TV Series,7.6,45,2022,"Drama, Fantasy, Horror, Mystery, Sci-Fi",208779,2022-08-05,,8,2022-08-12
127,tt7939218,2022-08-14,2022-08-14,,"Devils","Devils",https://www.imdb.com/title/tt7939218/,TV Series,7.2,50,2020,"Drama, Thriller",5643,2020-10-07,,9,2022-08-09
128,tt13322938,2022-08-28,2022-08-28,,"The Time It Takes","El tiempo que te doy",https://www.imdb.com/title/tt13322938/,TV Mini Series,7.2,10,2021,"Short, Drama, Romance",2443,2021-10-29,,6,2022-08-28
129,tt15574312,2022-09-08,2022-09-08,,"The Patient","The Patient",https://www.imdb.com/title/tt15574312/,TV Mini Series,7.0,30,2022,"Drama, Mystery, Thriller",36158,2022-08-30,,9,2022-10-08
130,tt15114768,2022-09-11,2022-09-11,,"Wedding Season","Wedding Season",https://www.imdb.com/title/tt15114768/,TV Series,6.5,40,2022,"Action, Adventure, Comedy, Crime, Mystery, Romance, Thriller",2280,2022-09-08,,6,2022-09-11
131,tt13587032,2022-09-17,2022-09-17,,"Yosi, the Regretful Spy","Iosi, el espía arrepentido",https://www.imdb.com/title/tt13587032/,TV Series,7.7,,2022,"Drama, History, Thriller",1699,2022-04-28,,8,2022-09-17
132,tt7772588,2022-09-17,2022-09-17,,"For All Mankind","For All Mankind",https://www.imdb.com/title/tt7772588/,TV Series,8.1,60,2019,"Drama, Sci-Fi",86142,2019-11-01,,,
133,tt3960394,2022-10-31,2022-10-31,,"Interview with the Vampire","Interview with the Vampire",https://www.imdb.com/title/tt3960394/,TV Series,7.6,60,2022,"Drama, Fantasy, Horror, Romance",38719,2022-10-02,,6,2022-10-31
134,tt14362262,2022-10-31,2022-10-31,,"The Boss","El Encargado",https://www.imdb.com/title/tt14362262/,TV Series,8.0,30,2022,"Comedy, Drama, Mystery, Thriller",7053,2022-10-26,,7,2022-10-31
135,tt13207736,2022-11-03,2022-11-03,,"Monster","Monster",https://www.imdb.com/title/tt13207736/,TV Series,7.7,60,2022,"Biography, Crime, Drama, Thriller",222280,2022-09-21,,9,2022-09-24
136,tt9319668,2022-11-25,2022-11-25,,"1899","1899",https://www.imdb.com/title/tt9319668/,TV Series,7.3,60,2022,"Adventure, Drama, Thriller",122703,2022-11-17,,9,2022-11-25
137,tt14367168,2022-11-25,2022-11-25,,"Let the Right One In","Let the Right One In",https://www.imdb.com/title/tt14367168/,TV Series,7.5,60,2022,"Drama, Horror",6593,2022-10-09,,7,2022-11-25
138,tt22807484,2022-11-28,2022-11-28,,"Ancient Apocalypse","Ancient Apocalypse",https://www.imdb.com/title/tt22807484/,TV Series,7.3,30,2022,"Documentary, History",12409,2022-11-11,,6,2022-11-28
139,tt5607976,2022-12-28,2022-12-28,,"His Dark Materials","His Dark Materials",https://www.imdb.com/title/tt5607976/,TV Series,7.7,60,2019,"Adventure, Drama, Fantasy, Sci-Fi",94173,2019-11-04,,8,2022-12-28
140,tt16450274,2022-12-28,2022-12-28,,"Treason","Treason",https://www.imdb.com/title/tt16450274/,TV Mini Series,6.4,41,2022,"Action, Drama, Thriller",25965,2022-12-26,,7,2022-12-28
141,tt5057054,2023-01-01,2023-01-01,,"Tom Clancy's Jack Ryan","Jack Ryan",https://www.imdb.com/title/tt5057054/,TV Series,8.0,60,2018,"Action, Crime, Drama, Thriller",191856,2018-08-31,,9,2023-01-01
142,tt14500082,2023-01-26,2023-01-26,,"How I Met Your Father","How I Met Your Father",https://www.imdb.com/title/tt14500082/,TV Series,5.7,30,2022,"Comedy, Drama",28935,2022-01-18,,4,2023-01-26
143,tt15677150,2023-03-09,2023-03-09,,"Shrinking","Shrinking",https://www.imdb.com/title/tt15677150/,TV Series,8.1,33,2023,"Comedy, Drama",120031,2023-01-27,,8,2023-03-09
144,tt11714672,2023-03-22,2023-03-22,,"The Flatshare","The Flatshare",https://www.imdb.com/title/tt11714672/,TV Series,7.3,45,2022,"Comedy, Drama, Romance",4474,2022-12-01,,6,2023-03-22
145,tt2403776,2023-03-25,2023-03-25,,"Shadow and Bone","Shadow and Bone",https://www.imdb.com/title/tt2403776/,TV Series,7.5,60,2021,"Action, Adventure, Drama, Fantasy, Mystery",124428,2021-04-23,,7,2023-03-25
146,tt3581920,2023-03-25,2023-03-25,,"The Last of Us","The Last of Us",https://www.imdb.com/title/tt3581920/,TV Series,8.5,50,2023,"Action, Adventure, Drama, Horror, Sci-Fi, Thriller",733206,2023-01-15,,7,2023-03-25
147,tt15475278,2023-03-25,2023-03-25,,"Plan B","Plan B",https://www.imdb.com/title/tt15475278/,TV Series,6.0,,2023,"Drama, Sci-Fi",1156,2023-02-27,,5,2024-01-08
148,tt19785210,2023-03-25,2023-03-25,,"Lucky Hank","Lucky Hank",https://www.imdb.com/title/tt19785210/,TV Series,6.8,45,2023,"Comedy, Drama",7682,2023-03-16,,5,2024-01-08
149,tt13918776,2023-05-24,2023-05-24,,"The Night Agent","The Night Agent",https://www.imdb.com/title/tt13918776/,TV Series,7.4,45,2023,"Action, Drama, Thriller",159161,2023-03-23,,6,2023-05-24
150,tt9794044,2023-06-11,2023-06-11,,"Citadel","Citadel",https://www.imdb.com/title/tt9794044/,TV Series,6.2,41,2023,"Action, Drama, Thriller",38301,2023-04-28,,6,2023-07-07
151,tt8421350,2023-06-24,2023-06-24,,"Manifest","Manifest",https://www.imdb.com/title/tt8421350/,TV Series,7.0,43,2018,"Drama, Mystery, Sci-Fi, Thriller",104102,2018-09-24,,8,2023-07-07
152,tt15565872,2023-06-24,2023-06-24,,"A Spy Among Friends","A Spy Among Friends",https://www.imdb.com/title/tt15565872/,TV Mini Series,7.2,60,2022,"Drama, Thriller",8172,2023-03-12,,7,2023-06-24
153,tt14688458,2023-07-09,2023-07-09,,"Silo","Silo",https://www.imdb.com/title/tt14688458/,TV Series,8.1,49,2023,"Drama, Mystery, Sci-Fi",211527,2023-05-05,,10,2023-07-09
154,tt0903747,2023-07-24,2023-07-24,,"Breaking Bad","Breaking Bad",https://www.imdb.com/title/tt0903747/,TV Series,9.5,48,2008,"Crime, Drama, Thriller",2598185,2008-01-20,,9,2023-07-25
155,tt15428778,2023-07-30,2023-07-30,,"Mayfair Witches","Mayfair Witches",https://www.imdb.com/title/tt15428778/,TV Series,6.2,60,2023,"Drama, Fantasy",19164,2023-01-08,,4,2023-07-30
156,tt23033802,2023-10-01,2023-10-01,,"Still Up","Still Up",https://www.imdb.com/title/tt23033802/,TV Series,6.7,,2023,"Comedy",2238,2023-09-22,,7,2023-10-01
157,tt21822590,2023-10-01,2023-10-01,,"The Woman in the Wall","The Woman in the Wall",https://www.imdb.com/title/tt21822590/,TV Series,7.2,60,2023,"Drama, Mystery, Thriller",8153,2024-01-19,,8,2023-10-01
158,tt2356777,2023-11-14,2023-11-14,,"True Detective","True Detective",https://www.imdb.com/title/tt2356777/,TV Series,8.8,60,2014,"Crime, Drama, Mystery, Thriller",751641,2014-01-12,,9,2023-11-14
159,tt20285780,2023-12-28,2023-12-28,,"The Artful Dodger","The Artful Dodger",https://www.imdb.com/title/tt20285780/,TV Series,8.0,50,2023,"Adventure, Crime, Drama, History",18504,2023-11-29,,8,2023-12-28
160,tt0489974,2023-12-31,2023-12-31,,"Carnival Row","Carnival Row",https://www.imdb.com/title/tt0489974/,TV Series,7.7,56,2019,"Crime, Drama, Fantasy, Mystery, Thriller",88386,2019-08-30,,6,2023-12-31
161,tt7671598,2024-01-08,2024-01-08,,"Messiah","Messiah",https://www.imdb.com/title/tt7671598/,TV Series,7.6,43,2020,"Drama, Mystery, Thriller",49590,2020-01-01,,7,2024-01-08
162,tt18347622,2024-01-11,2024-01-11,,"Bodies","Bodies",https://www.imdb.com/title/tt18347622/,TV Mini Series,7.3,60,2023,"Crime, Drama, Mystery, Sci-Fi, Thriller",67842,2023-10-19,,8,2024-01-11
163,tt14452776,2024-02-10,2024-02-10,,"The Bear","The Bear",https://www.imdb.com/title/tt14452776/,TV Series,8.5,30,2022,"Comedy, Drama",307215,2022-06-23,,9,2024-02-10
164,tt9018736,2024-02-26,2024-02-26,,"Avatar: The Last Airbender","Avatar: The Last Airbender",https://www.imdb.com/title/tt9018736/,TV Series,7.2,55,2024,"Action, Adventure, Comedy, Drama, Family, Fantasy, Mystery",84058,2024-02-22,,7,2024-02-26
165,tt14044212,2024-03-13,2024-03-13,,"Mr. & Mrs. Smith","Mr. & Mrs. Smith",https://www.imdb.com/title/tt14044212/,TV Series,7.0,45,2024,"Action, Comedy, Crime, Thriller",54152,2024-02-02,,7,2024-03-13
166,tt2788316,2024-04-11,2024-04-11,,"Shōgun","Shogun",https://www.imdb.com/title/tt2788316/,TV Series,8.6,60,2024,"Action, Adventure, Drama, History, War",243419,2024-02-27,,9,2024-04-11
167,tt0386676,2024-06-14,2024-06-14,,"The Office","The Office",https://www.imdb.com/title/tt0386676/,TV Series,9.0,22,2005,"Comedy",827839,2005-03-24,,7,2024-06-14
168,tt3032476,2024-06-14,2024-06-14,,"Better Call Saul","Better Call Saul",https://www.imdb.com/title/tt3032476/,TV Series,9.0,45,2015,"Crime, Drama",827551,2015-02-08,,9,2024-06-14
169,tt13016388,2024-06-15,2024-06-15,,"3 Body Problem","3 Body Problem",https://www.imdb.com/title/tt13016388/,TV Series,7.5,60,2024,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",179195,2024-03-21,,8,2024-06-15
170,tt19231492,2024-06-17,2024-06-17,,"Dark Matter","Dark Matter",https://www.imdb.com/title/tt19231492/,TV Series,7.6,,2024,"Drama, Sci-Fi, Thriller",73462,2024-05-08,,7,2024-06-17
171,tt4301160,2024-06-18,2024-06-18,,"Black Bird","Black Bird",https://www.imdb.com/title/tt4301160/,TV Mini Series,8.1,58,2022,"Biography, Crime, Drama, Mystery, Thriller",141289,2022-07-08,,7,2024-06-18
172,tt7493974,2024-06-20,2024-06-20,,"Bodyguard","Bodyguard",https://www.imdb.com/title/tt7493974/,TV Series,8.0,60,2018,"Crime, Drama, Mystery, Thriller",169687,2018-10-24,,8,2024-06-20
173,tt2294189,2024-07-12,2024-07-12,,"The Fall","The Fall",https://www.imdb.com/title/tt2294189/,TV Series,8.1,60,2013,"Crime, Drama, Thriller",131518,2013-05-12,,8,2024-07-12
174,tt7366338,2024-09-06,2024-09-06,,"Chernobyl","Chernobyl",https://www.imdb.com/title/tt7366338/,TV Mini Series,9.3,60,2019,"Drama, History, Thriller",1028866,2019-05-06,,8,2024-09-06
175,tt31806037,2025-04-29,2025-04-29,,"Adolescence","Adolescence",https://www.imdb.com/title/tt31806037/,TV Mini Series,8.1,60,2025,"Crime, Drama, Thriller",300417,2025-03-13,,7,2025-04-29
176,tt3655448,2025-05-18,2025-05-18,,"The Young Pope","The Young Pope",https://www.imdb.com/title/tt3655448/,TV Mini Series,8.3,60,2016,"Drama",51496,2017-01-15,,8,2025-05-18
177,tt5651844,2025-06-03,2025-06-03,,"Travelers","Travelers",https://www.imdb.com/title/tt5651844/,TV Series,8.0,45,2016,"Drama, Mystery, Sci-Fi, Thriller",71916,2016-10-17,,8,2025-06-03
178,tt1839578,2025-08-05,2025-08-05,,"Person of Interest","Person of Interest",https://www.imdb.com/title/tt1839578/,TV Series,8.5,43,2011,"Action, Crime, Drama, Mystery, Sci-Fi, Thriller",206153,2011-09-22,,8,2025-08-05
179,tt32596156,2025-12-13,2025-12-13,,"Talamasca: The Secret Order","Talamasca: The Secret Order",https://www.imdb.com/title/tt32596156/,TV Series,6.5,,2025,"Drama, Fantasy, Sci-Fi, Thriller",6000,2025-10-26,,6,2025-12-13
180,tt5875444,2025-12-21,2025-12-21,,"Slow Horses","Slow Horses",https://www.imdb.com/title/tt5875444/,TV Series,8.3,50,2022,"Drama, Thriller",145478,2022-04-01,,9,2025-12-21
181,tt31449991,2025-12-31,2025-12-31,,"Chad Powers","Chad Powers",https://www.imdb.com/title/tt31449991/,TV Series,7.5,35,2025,"Comedy, Sport",14164,2025-09-30,,8,2025-12-31
182,tt35707374,2026-03-04,2026-03-04,,"Memory of a Killer","Memory of a Killer",https://www.imdb.com/title/tt35707374/,TV Series,6.9,,2026,"Action, Crime, Drama, Thriller",4040,2026-01-25,,7,2026-03-04
